기능,method,URL,parameters,return
회원가입,POST,/v1/account,,
회원탈퇴,DELETE,/v1/account,,
로그인,POST,/v1/login,,
로그아웃,GET,/v1/logout,,
클럽 생성,POST,/v1/club,,
클럽 검색,GET,/v1/club,,
클럽 수정,PUT,/v1/club/<club-pk>,,
클럽 삭제,DELETE,/v1/club/<club-pk>,,
가입대기자 목록 조회,GET,/v1/club/<club-pk>/waiters       ,,
가입 승인 및 거절,PUT,/v1/club/<club-pk>/waiters/<user-pk>,,
클럽 멤버 리스트 조회,GET,/v1/club/<club-pk>/members,,
클럽 멤버 정보 조회,GET,/v1/club/<club-pk>/members/<user-pk>,,
클럽 멤버 추방,DELETE,/v1/club/<club-pk>/members/<user-pk>,,
클럽 멤버 권한 수정,PUT,/v1/club/<club-pk>/members/<user-pk>,,
물건 대여 목록,GET,/v1/club/<club-pk>/members/<user-pk>/owns,,
물건 대여,POST,/v1/club/<club-pk>/members/<user-pk>/owns,,
물건 대여 연장,PUT,/v1/club/<club-pk>/members/<user-pk>/owns/<asset-pk>,,
물건 반납,DELETE,/v1/club/<club-pk>/members/<user-pk>/owns/<asset-pk>,,
찜한 물건 목록,GET,/v1/club/<club-pk>/members/<user-pk>/likes,,
찜한 목록 추가,POST,/v1/club/<club-pk>/members/<user-pk>/likes,,
찜한 목록에서 제거,DELETE,/v1/club/<club-pk>/members/<user-pk>/likes/<asset-pk>,,
카테고리 목록 조회,GET,/v1/club/<club-pk>/categories,,
카테고리 생성,POST,/v1/club/<club-pk>/categories,,
카테고리 정보 조회,GET,/v1/club/<club-pk>/categories/<category-pk>,,
카테고리 수정,PUT,/v1/club/<club-pk>/categories/<category-pk>,,
카테고리 삭제(recursive),DELETE,/v1/club/<club-pk>/categories/<category-pk>,,
물건 리스트 조회,GET,/v1/club/<club-pk>/assets,,
물건 등록,POST,/v1/club/<club-pk>/assets,,
물건 정보 조회,GET,/v1/club/<club-pk>/assets/<asset-pk>,,
물건 삭제,DELETE,/v1/club/<club-pk>/assets/<asset-pk>,,
물건 수정,PUT,/v1/club/<club-pk>/assets/<asset-pk>,,
댓글 리스트 가져오기,GET,/v1/club/<club-pk>/assets/<asset-pk>/comments,,
댓글 작성하기,POST,/v1/club/<club-pk>/assets/<asset-pk>/comments,,
댓글 삭제하기,DELETE,/v1/club/<club-pk>/assets/<asset-pk>/comments/<comment-pk>,,
대댓글 작성하기,POST,/v1/club/<club-pk>/assets/<asset-pk>/comments/<comment-pk>,,
